,Company,Location,Salary,Titles,New Salary,SalaryII,SalaryIII,Avg Salary
6324,USC,"Los Angeles, CA","[$82,000 - $105,000 a year]",Bioinformatics Programmer,"[u'82,000  105,000 ']",82000.0,105000.0,93500.0
6327,AcuraStem,"Los Angeles, CA 90095","[$45,000 - $70,000 a year]","Associate Scientist II/III, ALS Drug Discovery","[u'45,000  70,000 ']",45000.0,70000.0,57500.0
6333,Department of Commerce,"Van Nuys, CA","[$96,698 - $125,706 a year]","Supervisory Survey Statistician, GG-1530-13, CENSUS-DOC-JMW","[u'96,698  125,706 ']",96698.0,125706.0,111202.0
6356,Los Angeles County Department of Human Resources,"Los Angeles, CA","[$57,274 - $71,152 a year]","RESEARCH ANALYST II, BEHAVIORAL SCIENCES","[u'57,274  71,152 ']",57274.0,71152.0,64213.0
6455,All-In Analytics,"Los Angeles, CA","[$125,000 - $150,000 a year]",Senior Data Scientist,"[u'125,000  150,000 ']",125000.0,150000.0,137500.0
6500,Council for Watershed Health,"Los Angeles, CA","[$55,000 - $60,000 a year]",Project Manager-Green Infrastructure,"[u'55,000  60,000 ']",55000.0,60000.0,57500.0
6611,BOEING,"El Segundo, CA 90245","[$89,000 - $113,000 a year]",Survivability Systems Engineer,"[u'89,000  113,000 ']",89000.0,113000.0,101000.0
6829,Los Angeles County Department of Human Resources,"Los Angeles, CA","[$79,884 - $104,772 a year]",SUPERVISING CLINICAL LABORATORY SCIENTIST II,"[u'79,884  104,772 ']",79884.0,104772.0,92328.0
6948,Department of the Army,"Fort Sam Houston, TX","[$85,816 - $131,833 a year]",General Health Scientist (Epidemiologist),"[u'85,816  131,833 ']",85816.0,131833.0,108824.5
6981,Department of the Air Force,"Lackland AFB, TX","[$85,816 - $131,833 a year]",Hydrologist,"[u'85,816  131,833 ']",85816.0,131833.0,108824.5
7739,Nucleus Biologics,"San Diego, CA","[$60,000 - $75,000 a year]",Research Scientist,"[u'60,000  75,000 ']",60000.0,75000.0,67500.0
7781,Agile Global Solutions,"San Diego, CA","[$80,000 - $90,000 a year]",SAS Programmer,"[u'80,000  90,000 ']",80000.0,90000.0,85000.0
7855,UC San Diego,"San Diego, CA","[$43,305 - $47,188 a year]",Metabolomics Researcher,"[u'43,305  47,188 ']",43305.0,47188.0,45246.5
7873,"Biocept, Inc.","San Diego, CA 92121","[$80,000 - $100,000 a year]",Laboratory Supervisor,"[u'80,000  100,000 ']",80000.0,100000.0,90000.0
7891,Department of the Navy,"San Diego, CA","[$94,707 - $123,234 a year]",OPERATIONS RESEARCH ANALYST,"[u'94,707  123,234 ']",94707.0,123234.0,108970.5
8053,JSP Recruitment Services,"San Diego, CA","[$80,000 - $90,000 a year]",SAS/A Programmer II,"[u'80,000  90,000 ']",80000.0,90000.0,85000.0
8114,Adecco: USA,"San Diego, CA","[$85,000 - $90,000 a year]",Bioinformatics Research Scientist,"[u'85,000  90,000 ']",85000.0,90000.0,87500.0
8488,MD Anderson Cancer Center,"Houston, TX","[$66,400 - $99,600 a year]",Research Statistical Analyst - Biostatistics,"[u'66,400  99,600 ']",66400.0,99600.0,83000.0
8489,MD Anderson Cancer Center,"Houston, TX","[$66,400 - $99,600 a year]",Research Statistical Analyst,"[u'66,400  99,600 ']",66400.0,99600.0,83000.0
8490,MD Anderson Cancer Center,"Houston, TX","[$66,400 - $99,600 a year]",Research Statistical Analyst -Bioinformatics & Computational...,"[u'66,400  99,600 ']",66400.0,99600.0,83000.0
8580,MD Anderson Cancer Center,"Houston, TX","[$51,600 - $77,400 a year]","Research Scientist, Experimental Radiation Oncology","[u'51,600  77,400 ']",51600.0,77400.0,64500.0
8588,MD Anderson Cancer Center,"Houston, TX","[$25,200 - $51,500 a year]",Institute Associate Scientist I – Medicinal Chemistry,"[u'25,200  51,500 ']",25200.0,51500.0,38350.0
8674,MD Anderson Cancer Center,"Houston, TX","[$95,000 - $142,000 a year]",Institute Research Scientist - Translational Biology,"[u'95,000  142,000 ']",95000.0,142000.0,118500.0
8687,MD Anderson Cancer Center,"Houston, TX","[$29,200 - $43,800 a year]",Research Assistant II - Gynecologic Oncology and Reproductiv...,"[u'29,200  43,800 ']",29200.0,43800.0,36500.0
8689,MD Anderson Cancer Center,"Houston, TX","[$46,500 - $83,000 a year]",Institute Associate Scientist II - In Vivo Pharmacology,"[u'46,500  83,000 ']",46500.0,83000.0,64750.0
8725,MD Anderson Cancer Center,"Houston, TX","[$125,000 - $187,000 a year]","Principal Institute Research Scientist - Drug Discovery, Bio...","[u'125,000  187,000 ']",125000.0,187000.0,156000.0
9270,Washington University in St. Louis,"St. Louis, MO","[$46,113 - $58,802 a year]",Statistical Data Analyst - Biostatistics,"[u'46,113  58,802 ']",46113.0,58802.0,52457.5
9271,Washington University in St. Louis,"St. Louis, MO","[$34,944 - $44,553 a year]",Reporting Services Analyst I - Ob/Gyn - Research & Operation...,"[u'34,944  44,553 ']",34944.0,44553.0,39748.5
9272,Strategic Staffing Solutions,"St. Louis, MO","[$85,000 - $110,000 a year]",Data Scientist - R / Python,"[u'85,000  110,000 ']",85000.0,110000.0,97500.0
9297,Department of Defense,"St. Louis, MO","[$60,613 - $123,234 a year]",Data Engineer,"[u'60,613  123,234 ']",60613.0,123234.0,91923.5
9299,The McManness Group,"St. Louis, MO","[$110,000 - $150,000 a year]","Senior Manager, Data Analysis, Value Based Contracting","[u'110,000  150,000 ']",110000.0,150000.0,130000.0
